Latitude,Longitude,distance_to_nearest_substation_m,distance_to_nearest_powerline_m,altitude
39.64,20.17,61418.53880918996,3922.776898697541,188.2875061035156
39.64,20.19,62104.85614797935,5616.516528084195,495.1751098632812
39.64,20.21,62830.22160832071,7310.312816652927,455.6847534179688
39.64,20.23,63593.298635367246,9004.165802552792,575.590576171875
39.64,20.25,64392.74618927565,10698.075523954922,232.7080841064453
39.64,20.27,65227.22662255211,12361.648977279716,393.5408020019531
39.64,20.29,66095.41270059123,13924.929958517225,251.3603210449219
39.64,20.31,66995.99376298147,15488.049156381656,711.0084838867188
39.64,20.33,67927.68104297497,17062.886889268695,499.0794372558594
39.64,20.35,68889.21217830344,18662.392914508506,927.1163330078125
39.64,20.37,69879.35495861956,20280.85912882026,662.1178588867188
39.64,20.39,70896.91036332959,21914.084114736423,293.2904052734375
39.64,20.41,71940.7149490812,23558.99781260947,255.9253540039062
39.64,20.43,73009.64264896937,25213.31188765336,439.2887268066406
39.64,20.45,74102.60604625983,26875.289813003263,766.506591796875
39.64,20.47,75218.55718427655,28543.59232180295,297.6132507324219
39.64,20.49,76356.48797184274,30217.17134665761,383.336669921875
39.64,20.51,77515.43024026424,31895.19581655994,336.7584838867188
39.64,20.53,78694.45550393585,33576.9988081576,202.2223052978516
39.64,20.55,79892.67447232707,35262.03928231534,214.4187927246094
39.64,20.57,81109.23635654121,36949.8739583949,345.8365478515625
39.64,20.59,82343.32800920868,38640.1363503144,192.9852752685547
39.64,20.61,83594.17293201911,40332.520938799986,142.5316162109375
39.64,20.63,84684.52508966153,42026.771078955106,496.998046875
39.64,20.65,82969.0953821915,43722.66965976709,598.9465942382812
39.64,20.67,81253.70951172222,45420.03181560719,445.1515808105469
39.64,20.69,79538.37013682297,47118.69918502489,677.229248046875
39.64,20.71,77823.08015948617,48818.53534849339,616.8474731445312
39.64,20.73,76107.84275254127,50519.42217322739,647.2281494140625
39.64,20.75,74392.66139085771,52221.25686226587,642.5571899414062
39.64,20.77,72677.53988695855,53923.949555031555,755.9246826171875
39.64,20.79,70962.48243179679,55589.38840956504,794.7962036132812
39.64,20.81,69247.49364158169,57058.06787937092,794.5814819335938
39.64,20.83,67532.57861173338,58540.0199879326,501.1529846191406
